"TSP","C.loss_Ma1","N.loss_Ma1","C.loss_Mi1","N.loss_Mi1","C.loss_CG","N.loss_CG","Castanea.henryi","Nyssa.sinensis","Liquidambar.formosana","Quercus.fabri","Lithocarpus.glaber","Quercus.serrata","Castanopsis.sclerophylla","Choerospondias.axillaris","Sapium.sebiferum","Koelreuteria.bipinnata","Sapindus.mukorossi","Cyclobalanopsis.glauca","Shima.Superba","Castanopsis.Myl","Rhus","Quercus.ac","Alniphylium","Cast.faargesii"
"38-F21",65.447999379977,75.3150192251716,49.8793756793755,67.1028503961806,46.1864349817709,50.0761008344327,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0,0,0
"42-N11",43.7343626109471,63.7869947212821,24.6894240526078,58.0652372378604,38.6942143980794,54.6172603401571,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0
"43-N11",48.6013218178644,74.9899617639885,36.9865752950389,63.3285145701334,62.9830618796884,66.948972806207,0,0,0,0,0,0,0,0,0,0,8.62,0,0,0,0,0,0,0
"44-R17",64.3782891052048,92.9343004189694,61.5553028638056,96.9379835862567,43.46543293284,46.7940464815086,0,0,0,0,0,0,0,0,0,0,36.97,0,0,0,0,0,0,0
"46-N13",72.1374857222737,74.8343724744359,37.5843320656857,20.439646648863,60.928754329345,37.982162533287,0,0,0,0,0,0,0,0,62.25,0,0.15,0,0,0,0,0,0,0
"47-N13",85.8689827454784,82.3253498260636,68.1616204934091,57.2437026370947,63.7952910225363,44.0758858840795,0,0,0,0,0,0,0,0,57.51,0,0,0,0,0,0,0,0,0
"51-C32",47.2361236151762,60.3715845197003,55.8210737954071,64.079028945825,51.5653461734544,39.3546819445699,67.32,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52-C32",67.46331290637,76.0842713969557,52.4021977251563,56.3332320112579,45.4091868821525,37.5969237493708,48.53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53-F22",61.702474303689,58.8887710203857,32.93331456066,53.8362741868809,49.2235095869581,33.8257557075956,65.81,100.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55-F22",68.8325789832182,59.7996747853347,48.4116567949846,43.2994052524398,46.8779248041851,31.4303985900762,26.62,104.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63-P26",54.0360408155067,46.8867659829562,51.4844141752425,53.0811165339218,43.8587029332728,45.385772770529,0,0,0,0,0,4.92,38.71,0,0,0,0,0,0,0,0,0,0,0
"64-O6",66.8247444802637,73.1382556868258,54.8615689651085,67.3087330747881,45.6273904992251,46.9945278756008,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0
"65-O6",71.4065207273496,72.2657061884216,33.0389942510737,47.5895758632422,32.6349965050891,26.8091198879128,0,0,0,0,0,3.59,19.23,0,0,0,0,0,0,0,0,0,0,0
"66-O6",53.889745822715,56.0032542255164,61.210043610419,62.0256919618042,45.1942800321923,44.5456170420676,0,0,0,0,0,12.01,21.23,0,0,0,0,0,0,0,0,0,0,0
"67-I27",41.1051743510438,50.3783425942224,29.0416552614392,38.7936485692125,35.9436384467799,32.7644403532928,0,0,0,0,0,0,0,42.77,0,0,0,0,0,0,0,0,0,0
"68-I27",43.0500454850331,49.6720738195835,22.542244553949,26.8782320416673,28.8835126146985,23.7352773096005,0,0,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0
"69-S18",77.6934774477225,84.6501510761842,35.6995387673045,55.367464178354,35.9840171435321,46.8594834048479,0,0,0,0,0,0,0,79.08,0,0,0,0,0,0,0,0,0,0
"70-S18",62.4597968989051,69.5255215589208,42.9849936639841,55.9117631565342,42.2790957257436,43.4697504404837,0,0,0,0,0,0,0,203.33,0.09,0,0,0,0,0,0,0,0,0
"71-S18",70.7546508010155,80.0108049849533,41.5751897692099,59.0742126759403,28.8375152713785,46.4457079535287,0.1,0,0,0,0,0,0,146.37,4.1,0,0.29,0,0,0,0,0,0,0
